URL,Brand,Template,Block Name,Block Position,Authoring Inputs
https://lottabody.com/,Lottabody,Homepage,Hero (Video),1,Video URL (YouTube) | Background Image (fallback)
https://lottabody.com/,Lottabody,Homepage,Product Line Cards,2,Product Line Image | Line Name | Line Link (x2: Milk & Honey and Coconut & Shea Oils)
https://lottabody.com/,Lottabody,Homepage,CTA Banner,3,Banner Image | CTA Label | CTA Link
https://lottabody.com/,Lottabody,Homepage,Newsletter Signup,4,Heading | Description | Button Label
https://lottabody.com/alotta-gallery/,Lottabody,Gallery,Gallery CTA,1,Instructional text (e.g. Click on images to learn more)
https://lottabody.com/alotta-gallery/,Lottabody,Gallery,Image Gallery,2,Gallery Image (repeatable) | Image Caption | Click Action Link
https://lottabody.com/alotta-gallery/alotta-strength/,Lottabody,Gallery,Gallery CTA,1,Instructional text
https://lottabody.com/alotta-gallery/alotta-strength/,Lottabody,Gallery,Image Gallery,2,Gallery Image (repeatable) | Image Caption | Click Action Link
https://lottabody.com/category/product/,Lottabody,Product Collection,Category Header,1,Category Title
https://lottabody.com/category/product/,Lottabody,Product Collection,Product Grid,2,Product Image | Product Name | Product Link (repeatable)
https://lottabody.com/category/study-material/,Lottabody,Blog Listing,Blog Header,1,Section Title
https://lottabody.com/category/study-material/,Lottabody,Blog Listing,Article Card Grid,2,Article Thumbnail | Article Title | Excerpt | Article Link (repeatable)
https://lottabody.com/coconut-and-shea-oils/,Lottabody,Product Line Landing,Hero (Product Line),1,Banner Image | Line Name (Coconut & Shea Oils) | Collection Image
https://lottabody.com/coconut-and-shea-oils/,Lottabody,Product Line Landing,Product Card Grid,2,Product Image | Product Name | Subtitle | CTA Label | CTA Link (repeatable x7)
https://lottabody.com/coconut-and-shea-oils/24hr-edge-gel/,Lottabody,Product Detail,Product Image,1,Product Image | Alt Text
https://lottabody.com/coconut-and-shea-oils/24hr-edge-gel/,Lottabody,Product Detail,Product Info,2,Product Title | Short Description | Key Features
https://lottabody.com/coconut-and-shea-oils/5-n-1/,Lottabody,Product Detail,Product Image,1,Product Image | Alt Text
https://lottabody.com/coconut-and-shea-oils/5-n-1/,Lottabody,Product Detail,Product Info,2,Product Title | Short Description | Key Features
https://lottabody.com/coconut-and-shea-oils/cleanse-me/,Lottabody,Product Detail,Product Image,1,Product Image | Alt Text
https://lottabody.com/coconut-and-shea-oils/cleanse-me/,Lottabody,Product Detail,Product Info,2,Product Title | Short Description | Key Features
https://lottabody.com/coconut-and-shea-oils/control-me-edge-gel/,Lottabody,Product Detail,Product Image,1,Product Image | Alt Text
https://lottabody.com/coconut-and-shea-oils/control-me-edge-gel/,Lottabody,Product Detail,Product Info,2,Product Title | Short Description | Key Features
https://lottabody.com/coconut-and-shea-oils/curl-and-style-milk/,Lottabody,Product Detail,Product Image,1,Product Image | Alt Text
https://lottabody.com/coconut-and-shea-oils/curl-and-style-milk/,Lottabody,Product Detail,Product Info,2,Product Title | Short Description | Key Features
https://lottabody.com/coconut-and-shea-oils/custard-gelee/,Lottabody,Product Detail,Product Image,1,Product Image | Alt Text
https://lottabody.com/coconut-and-shea-oils/custard-gelee/,Lottabody,Product Detail,Product Info,2,Product Title | Short Description | Key Features
https://lottabody.com/coconut-and-shea-oils/edge-gel/,Lottabody,Product Detail,Product Image,1,Product Image | Alt Text
https://lottabody.com/coconut-and-shea-oils/edge-gel/,Lottabody,Product Detail,Product Info,2,Product Title | Short Description | Key Features
https://lottabody.com/coconut-and-shea-oils/foaming-mousse/,Lottabody,Product Detail,Product Image,1,Product Image | Alt Text
https://lottabody.com/coconut-and-shea-oils/foaming-mousse/,Lottabody,Product Detail,Product Info,2,Product Title | Short Description | Key Features
https://lottabody.com/coconut-and-shea-oils/fortify-me-product/,Lottabody,Product Detail,Product Image,1,Product Image | Alt Text
https://lottabody.com/coconut-and-shea-oils/fortify-me-product/,Lottabody,Product Detail,Product Info,2,Product Title | Short Description | Key Features
https://lottabody.com/coconut-and-shea-oils/hydrate-me/,Lottabody,Product Detail,Product Image,1,Product Image | Alt Text
https://lottabody.com/coconut-and-shea-oils/hydrate-me/,Lottabody,Product Detail,Product Info,2,Product Title | Short Description | Key Features
https://lottabody.com/coconut-and-shea-oils/hydrate-me-coconut-and-shea-oils/,Lottabody,Product Detail,Product Image,1,Product Image | Alt Text
